0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/jquery.easyui.min.js HTTP/1.1" 200 309118
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/icon.css HTTP/1.1" 200 4440
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/default/easyui.css HTTP/1.1" 200 46150
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/images/bglogo.png HTTP/1.1" 200 12712
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/khxxgl.png HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/fwfp.png HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/yxjhgl.png HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/fwcj.png HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/fwgd.png HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/khlsgl.png HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/fwfk.png HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:47 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/fwcl.png HTTP/1.1" 200 1535
